Objekt,Navn,Type,Formel,UoM,Målernivå
VIS-Måler,VOLL GRDG,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,VOLL MIDDEL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 268014064,Fastkraft,707057500068516421,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Valøya Sentralanlegg,,,,
VIS-Måler,Fjernvarme 68590120,Fjernvarme,ESAVE_284273-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme 65878957,Fjernvarme,ESAVE_228361-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,VOLL GRDG,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,VOLL MIDDEL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 265943771,Fastkraft,707057500068613045,kWh,Forbruksmåler
VIS-Måler,Fastkraft 228975295,Fastkraft,707057500067932932,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Zion sykehjem,,,,
VIS-Måler,Trondheim_VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Graddager 68860,Graddager,Eklima_68860_GD17,grdg,Annen måler
VIS-Måler,Temperatur 68860,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66467815,Fjernvarme,ESAVE_136346-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 265953087,Fastkraft,707057500068615537,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Jarleveien 10,,,,
VIS-Måler,TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68473198,Fjernvarme,ESAVE_283652-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 7359992891260927,Fastkraft,707057500068933747,kWh,Forbruksmåler
VIS-Måler,Fastkraft 7359992891275006,Fastkraft,707057500068980536,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Spongdal skole og Byneshallen,,,,
VIS-Måler,Temperatur 68860,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme ,Fjernvarme,ESAVE_320.01_WM01_Fh_1_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 7350049087609585,Fastkraft,707057500068891160,kWh,Forbruksmåler
VIS-Måler,Fastkraft 7350049087545272,Fastkraft,707057500068890699,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Persaunet helse- og velferdssenter,,,,
VIS-Måler,Snøsmeltekurs,Fjernvarme,EID_942110464_00012,kWh,Annen måler
VIS-Måler,Gulvvarmekurs,Fjernvarme,EID_942110464_00011,kWh,Annen måler
VIS-Måler,Radiatorkurs,Fjernvarme,EID_942110464_00010,kWh,Annen måler
VIS-Måler,Varmebatteri ventilasjon,Fjernvarme,EID_942110464_00009,kWh,Annen måler
VIS-Måler,Samlemåler undermålere varme,Fjernvarme,EID_942110464_00008,kWh,Annen måler
VIS-Måler,Temperatur VOLL TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 68622366,Fjernvarme,ESAVE_284216-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 50812612,Fastkraft,707057500068947812,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Tonstad b og u skole - paviljong,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 68923243,Fastkraft,707057500068923243,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Stubban Barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 67255348,Fjernvarme,ESAVE_283574-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 7350049088526133,Fastkraft,707057500068935277,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Flatåsen nedre skole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_33_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 65852553,Fjernvarme,ESAVE_245503-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 261944386,Fastkraft,707057500068615742,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Skjetlein barnehage,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 68544639,Fastkraft,707057500068544693,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Breidablikk (gml) skole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 268964595,Fastkraft,707057500068428106,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Ladesletta helse- og velferdssenter,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_25_ID,m3,Annen måler
VIS-Måler,Lade Alle 80 el bygg G innkjøp,Fastkraft,ESAVE_Lade80x18116022_EAN,kWh,Annen måler
VIS-Måler,Barnehagen El til Bygg A,Fastkraft,ESAVE_Lade80x15150184_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon Bygg C,Fastkraft,ESAVE_Lade80kamVentC_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon 360.10,Fjernvarme,ESAVE_Lade80kam69152589_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon 360.09,Fjernvarme,ESAVE_Lade80kam69152588_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon 360.08,Fjernvarme,ESAVE_Lade80kam69152579_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon 360.07,Fjernvarme,ESAVE_Lade80kam69152573_EAN,kWh,Annen måler
VIS-Måler, Ventilasjon 360.06,Fjernvarme,ESAVE_Lade80kam69152572_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon 360.05,Fjernvarme,ESAVE_Lade80kam69152571_EAN,kWh,Annen måler
VIS-Måler,Bygg B Ventilasjon 360.04,Fjernvarme,ESAVE_Lade80kam69152570_EAN,kWh,Annen måler
VIS-Måler,Bygg B Ventilasjon 360.03,Fjernvarme,ESAVE_Lade80kam69152568_EAN,kWh,Annen måler
VIS-Måler,Bygg B Ventilasjon 360.02,Fjernvarme,ESAVE_Lade80kam69152558_EAN,kWh,Annen måler
VIS-Måler,Bygg A Ventilasjon 360.01,Fjernvarme,ESAVE_Lade80kam69152555_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon bygg A,Fastkraft,ESAVE_Lade80kam18116021_EAN,kWh,Annen måler
VIS-Måler,El varmekabler i bygg F,Fastkraft,ESAVE_Lade80kam18116021_EAN,kWh,Annen måler
VIS-Måler,El varmekabler i bygg F,Fastkraft,ESAVE_Lade80kam1795788_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon bygg D,Fastkraft,ESAVE_Lade80kam17957184_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon Bygg F rom 2. og 3. etg,Fastkraft,ESAVE_Lade80kam17957183_EAN,kWh,Annen måler
VIS-Måler,Ventilasjon bygg E,Fastkraft,ESAVE_Lade80kam17957182_EAN,kWh,Annen måler
VIS-Måler,Ventilajson Bygg F kjøkken vent,Fastkraft,ESAVE_Lade80kam17957186_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 280058 66587000,Fjernvarme,ESAVE_280058-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,EL 7350049087543250,Fastkraft,707057500068858477,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Leangen Ishall,,,,
VIS-Måler,WM13 Tørrkjølere arena,Fjernvarme,ESAVE_LeaIsh:US03_B_E_MtrH13_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM05 Varme curling,Fjernvarme,ESAVE_LeaIsh:US05_B_E_MtrH5_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM06 Undervarme curling,Fjernvarme,ESAVE_LeaIsh:US05_B_E_MtrH6_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM07 Kjøling curling,Fjernvarme,ESAVE_LeaIsh:US05_B_E_MtrH7_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM03 Fjernvarme ungdomshall,Fjernvarme,ESAVE_LeaIsh:US05_B_E_MtrH3_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM02 FV Ungdomshall,Fjernvarme,ESAVE_LeaIsh:US05_B_E_MtrH2_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM16 Tørrkjølere Ungdomshall,Fjernvarme,ESAVE_LeaIsh:US05_B_E_MtrH16_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM15 Varme Håndballhall,Fjernvarme,ESAVE_LeaIsh:US05_B_E_MtrH15_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM14 Fra arena til ungdomshall,Fjernvarme,ESAVE_LeaIsh:US03_B_E_MtrH14_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM12 Varmepumpe,Fjernvarme,ESAVE_LeaIsh:US03_B_E_MtrH12_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM11 Kondesator varmepumpe,Fjernvarme,ESAVE_LeaIsh:US03_B_E_MtrH11_CumEg_EAN,kWh,Annen måler
VIS-Måler,WM04 Strindheimbanen,Fjernvarme,ESAVE_LeaIsh:US03_B_E_MtrH04_CumEg_EAN,kWh,Annen måler
VIS-Måler,Tilbygg Kumulert energi,Fjernvarme,ESAVE_LeaIsh:US03_B_E_MtrH01_CumEg_EAN,kWh,Annen måler
VIS-Måler,Fastkraft Kuldeanlegg 7350049083977664,Fastkraft,707057500068820887,kWh,Forbruksmåler
VIS-Måler,Fjernvarme Arena?I 66727617,Fjernvarme,ESAVE_280180-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme Overtrykkshall 66633993,Fjernvarme,ESAVE_277703-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fjernvarme Ny-treningssal 65786873,Fjernvarme,ESAVE_235940-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Elkjel 261914208,Elkjel,707057500068564378,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 267933023,Fastkraft,707057500068616404,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Åsveien skole og Åsveihallen,,,,
VIS-Måler,Ventilasjon idrettshall,Fastkraft,EID_942110464_00077,kWh,Annen måler
VIS-Måler,Belysning idrettshall,Fastkraft,EID_942110464_00061,kWh,Annen måler
VIS-Måler,Varmemåler Åsveihallen (VP og FV),Fjernvarme,EID_942110464_00071,kWh,Annen måler
VIS-Måler,Ventilasjon del A,Fastkraft,EID_942110464_00058,kWh,Annen måler
VIS-Måler,Ventilasjon 4. etg,Fastkraft,EID_942110464_00064,kWh,Annen måler
VIS-Måler,Radiatorer og varmebatteri ventilasjon fra FV,Fjernvarme,EID_942110464_00072,kWh,Annen måler
VIS-Måler,Hovedmåler FV,Fjernvarme,EID_942110464_00075,kWh,Annen måler
VIS-Måler,Radiatorer og varmebatteri ventilasjon fra VP,Varme,EID_942110464_00070,kWh,Annen måler
VIS-Måler,Vannmåler idrettshall,Vann,EID_942110464_00086,m3,Annen måler
VIS-Måler,Vannmåler skolebygg,Vann,EID_942110464_00085,m3,Annen måler
VIS-Måler,Varmt tappevann fra FV,Fjernvarme,EID_942110464_00074,kWh,Annen måler
VIS-Måler,El til varmepumpe XQ23,Fastkraft,EID_942110464_00082,kWh,Annen måler
VIS-Måler,Avgitt varme fra VP,Varme,EID_942110464_00083,kWh,Annen måler
VIS-Måler,COP varmepumpe,Virkningsgrad,EID_942110464_00083/EID_942110464_00082,,Annen måler
VIS-Måler,Kjøling WM01,Kjøling,EID_942110464_00073,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 67624294,Fjernvarme,ESAVE_283078-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 7350049088280677,Fastkraft,707057500068906314,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Spongdal skole,,,,
VIS-Måler,Fastkraft Byneshallen,Fastkraft,707057500068891160,kWh,Forbruksmåler
VIS-Måler,FV skole,Fjernvarme,EID_942110464_00004-EID_942110464_00005,kWh,Forbruksmåler
VIS-Måler,FV Byneshallen,Fjernvarme,EID_942110464_00005,kWh,Annen måler
VIS-Måler,FV Skole og Byneshallen,Fjernvarme,EID_942110464_00004,kWh,Annen måler
VIS-Måler,FV varmt tappevann,Fjernvarme,EID_942110464_00003,kWh,Annen måler
VIS-Måler,Vann,Vann,ESAVE_942110464_18_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 7350049087545272,Fastkraft,707057500068890699,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Trondheim Hovedbrannstasjon (Sluppen),,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 67631468,Fjernvarme,ESAVE_280233-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 7350049088282640,Fastkraft,707057500068898756,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Stavset bskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_19_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Elkjel 265953083,Elkjel,707057500068564491,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 265953006,Fastkraft,707057500068613014,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Brøset Interim skole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,FK Pavljong 8 - 7350049083768194,Fastkraft,707057500068823741,kWh,Forbruksmåler
VIS-Måler,FK Pavljong 7 - 7350049083771231,Fastkraft,707057500068823734,kWh,Forbruksmåler
VIS-Måler,FK Pavljong 6 - 228975024,Fastkraft,707057500068790548,kWh,Forbruksmåler
VIS-Måler,FK Pavljong 5 - 7350049083771248,Fastkraft,707057500068823710,kWh,Forbruksmåler
VIS-Måler,FK Pavljong 4 - 7350049083766756,Fastkraft,707057500068823703,kWh,Forbruksmåler
VIS-Måler,FK Pavljong 3 - 7350049083769672,Fastkraft,707057500068823697,kWh,Forbruksmåler
VIS-Måler,FK Pavljong 2 - 7350049083771835,Fastkraft,707057500068823680,kWh,Forbruksmåler
VIS-Måler,FK Pavljong 1 - 7350049083241840,Fastkraft,707057500068823727,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
Bygg,Trondheim Kommune - Lilleby skole,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fjernvarme 65667360,Fjernvarme,ESAVE_225538-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Fastkraft 265953027,Fastkraft,707057500068614752,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Kalvskinnet bskole,,,,
VIS-Måler,Vann,Vann,ESAVE_942110464_26_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 66474265,Fjernvarme,ESAVE_86192-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 228994332,Fastkraft,707057500068614547,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Sverresmyr interimskole,,,,
VIS-Måler,Vann paviljong 7,Vann,ESAVE_942110464_53_ID,m3,Annen måler
VIS-Måler,"Vann paviljong 6, 2. etg",Vann,ESAVE_942110464_52_ID,m3,Annen måler
VIS-Måler,"Vann paviljong 6, 1. etg",Vann,ESAVE_942110464_51_ID,m3,Annen måler
VIS-Måler,Vann paviljong 5,Vann,ESAVE_942110464_50_ID,m3,Annen måler
VIS-Måler,"Vann paviljong 4, 2. etg",Vann,ESAVE_942110464_49_ID,m3,Annen måler
VIS-Måler,"Vann paviljong 4, 1. etg",Vann,ESAVE_942110464_48_ID,m3,Annen måler
VIS-Måler,Vann paviljong 3,Vann,ESAVE_942110464_47_ID,m3,Annen måler
VIS-Måler,Vann paviljong 2,Vann,ESAVE_942110464_46_ID,m3,Annen måler
VIS-Måler,"Vann paviljong 1, 2. etg",Vann,ESAVE_942110464_45_ID,m3,Annen måler
VIS-Måler,Vann paviljong 1. 1. etg,Vann,ESAVE_942110464_44_ID,m3,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fastkraft 95989055,Fastkraft,707057500068799947,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 28395772,Fastkraft,707057500068709168,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Byneset sykehjem,,,,
VIS-Måler,Nærvarme til sykehjem,Fjernvarme,EID_942110464_00091-EID_942110464_00090,kWh,Forbruksmåler
VIS-Måler,Nærvarme til Tobb,Fjernvarme,EID_942110464_00090,kWh,Annen måler
VIS-Måler,Nærvarme til sykehjem og Tobb,Fjernvarme,EID_942110464_00091,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 268015290,Fastkraft,707057500068635016,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Husebyhallen,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Fjernvarme 68474803,Fjernvarme,ESAVE_283766-980396002_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 7350049088524542,Fastkraft,707057500068939640,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Jakobsli skole,,,,
VIS-Måler,Fastkraft gymsalbygg,Fastkraft,707057500068978700,kWh,Forbruksmåler
VIS-Måler,Hovedmåler elkjel 68563876,Elkjel,707057500068563876,kWh,Annen måler
VIS-Måler, 19615447.1.m elkjel i bhg,Ikke valgt,ESAVE_942110464_19615447.1.m_EAN,kWh,Annen måler
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Elkjel 228974741 uten elkjel bhg,Elkjel,707057500068563876-ESAVE_942110464_19615447.1.m_EAN,kWh,Forbruksmåler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Fastkraft 268015519,Fastkraft,707057500068617289,kWh,Forbruksmåler
VIS-Måler,Fastkraft 7350049085520158,Fastkraft,707057500068285990,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Granåsen-Skianlegg,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
VIS-Måler,Trondheim-VOLL,Temperatur,Eklima_68860_TAM,°C,Annen måler
VIS-Måler,Snøproduksjon og lys,Fastkraft,707057500069078416,kWh,Annen måler
VIS-Måler,Fastkraft snøproduksjon 7350049087611731,Fastkraft,707057500068882557,kWh,Forbruksmåler
VIS-Måler,Fastkraft Barnas skidag 228004091,Fastkraft,707057500068449538,kWh,Forbruksmåler
VIS-Måler,Fastkraft T.A Hopparena Skåla 229983134,Fastkraft,707057500068449569,kWh,Forbruksmåler
VIS-Måler,Fastkraft T.H Hopparena P-plass 7350028679276206,Fastkraft,707057500068449552,kWh,Forbruksmåler
VIS-Måler,Fastkraft T.L Langrenn 229975323,Fastkraft,707057500068449545,kWh,Forbruksmåler
VIS-Måler,Fastkraft 229983149 Trafo 2,Fastkraft,707057500068957897,kWh,Forbruksmåler
VIS-Måler,Fastkraft 229975342 Trafo 1,Fastkraft,707057500068957880,kWh,Forbruksmåler
Bygg,Trondheim Kommune - Nyhavna Brannstasjon,,,,
VIS-Måler,Voll TAN,Temperatur,Eklima_68860_TAN,°C,Annen måler
